idx name E N U flagged
0 SB22-11 13.52 8.316 0.061 True
1 SB22-3 9.418 8.187 0.041 False
2 SB22-1 13.006 10.596 0.062 False
3 SB22-4 9.358 6.183 0.041 False
4 SB22-5 11.572 6.335 0.035 False
5 SB22-7 15.533 5.379 0.065 False
6 SB22-2 11.516 8.481 0.039 False
7 SB22-10 14.963 10.288 0.062 False
8 SB21-9 8.819 4.277 0.049 False
9 SB21-4 4.899 5.964 0.036 False
10 SB21-10 7.247 7.458 0.038 False
11 SB21-8 6.951 5.462 0.041 False
12 SB21-6 5.968 3.545 0.03 False
13 SB21-11 6.997 9.423 0.049 False
14 SB21-3 2.799 7.943 0.022 False
15 SB21-1 4.482 9.957 0.043 False
16 SB22-9 15.462 7.823 0.064 False
17 SB22-8 17.282 7.014 0.086 False
18 SB22-6 13.638 6.055 0.051 False
19 SB24-7 3.574 14.664 0.026 False
20 SB24-9 7.055 16.577 0.069 False
21 SB24-2 1.661 15.937 0.045 False
22 SB24-10 5.009 18.119 0.054 False
23 SB24-6 5.104 13.082 0.043 False
24 SB10-11 -10.529 -6.256 -0.048 False
25 SB10-1 -12.578 -8.373 -0.059 False
26 SB10-2 -14.518 -8.023 -0.069 False
27 SB10-7 -11.122 -12.77 -0.065 False
28 SB10-4 -14.026 -10.416 -0.069 False
29 SB21-7 7.766 2.545 0.039 False
30 SB21-5 4.011 3.75 0.021 False
31 SB21-2 4.99 8.052 0.03 False
32 SB24-1 0.954 18.279 0.045 False
33 SB24-8 5.219 15.771 0.055 False
34 SB24-11 3.265 17.171 0.052 False
35 SB24-5 3.49 11.709 0.038 False
36 SB24-3 0.318 14.456 0.029 False
37 SB24-4 2.065 13.244 0.03 False
38 SB23-4 8.143 12.221 0.047 False
39 SB23-3 6.269 11.344 0.046 False
40 SB11-10 -5.407 -10.648 -0.034 False
41 SB11-9 -4.314 -12.366 -0.042 False
42 SB10-6 -12.068 -10.608 -0.087 False
43 SB10-9 -8.014 -9.849 -0.076 False
44 SB10-10 -10.518 -8.321 -0.068 False
45 SB10-5 -13.12 -12.77 -0.084 False
46 SB10-3 -15.98 -9.918 -0.075 False
47 SB10-8 -10.021 -10.425 -0.03 False
48 SB23-10 10.724 15.052 0.061 False
49 SB23-8 12.069 12.899 0.066 False
50 SB23-7 11.005 10.632 0.052 False
51 SB23-9 14.057 12.724 0.066 False
52 SB23-6 10.084 12.737 0.06 False
53 SB23-5 9.008 10.229 0.04 False
54 SB23-2 6.871 14.108 0.063 False
