idx name E N U flagged
0 SB01-01 -15.5014 -11.7651 -0.0311 False
1 SB01-02 -13.7037 -7.9844 -0.0289 False
2 SB01-03 -12.5144 -9.2961 -0.0175 False
3 SB01-04 -9.2386 -8.5399 -0.0326 False
4 SB01-05 -10.0719 -6.7072 -0.0273 False
5 SB01-06 -11.9338 -7.2821 -0.0081 False
6 SB01-07 -12.2389 -4.3237 0.0115 False
7 SB01-08 -13.5652 -6.1955 -0.0031 False
8 SB01-09 -15.3601 -5.2663 0.0252 False
9 SB01-10 -15.137 -9.047 -0.0134 False
10 SB02-01 -12.1566 -14.1718 -0.0582 False
11 SB02-02 -10.6476 -16.1019 -0.0259 False
12 SB02-03 -10.5604 -13.2119 -0.0542 False
13 SB02-04 -8.2484 -15.4071 -0.042 False
14 SB02-05 -6.6292 -14.7022 -0.0294 False
15 SB02-06 -8.3992 -12.9132 -0.0453 False
16 SB02-07 -6.7444 -11.712 -0.0387 False
17 SB02-08 -8.0083 -10.4627 -0.0276 False
18 SB02-09 -9.8303 -10.377 -0.0249 False
19 SB02-10 -11.6883 -11.7519 -0.0191 False
20 SB02-11 -13.9268 -10.7583 -0.0203 False
21 SB03-01 -6.4435 -16.8664 -0.0312 False
22 SB03-02 -4.9302 -15.6993 -0.0227 False
23 SB03-03 -2.8995 -18.7297 -0.0033 False
24 SB03-04 -2.7604 -15.2445 -0.0357 False
25 SB03-05 -2.2786 -16.9859 -0.0205 False
26 SB03-06 0.5399 -14.1939 -0.0369 False
27 SB03-07 -2.3171 -13.5574 -0.0463 False
28 SB03-08 1.7815 -12.7198 -0.0613 False
29 SB03-09 -0.7126 -12.225 -0.0415 False
30 SB03-10 -3.3883 -11.9629 -0.0475 False
31 SB03-11 -5.505 -13.3201 -0.0309 False
32 SB04-01 -5.4556 -9.1146 -0.0427 False
33 SB04-02 -4.9012 -10.805 -0.0457 False
34 SB04-03 -1.8651 -10.6611 -0.049 False
35 SB04-04 -2.503 -8.9251 -0.0406 False
36 SB04-05 -1.4567 -7.4642 -0.0549 False
37 SB04-06 -1.0297 -5.6332 -0.0321 False
38 SB04-07 -3.8332 -7.3579 -0.051 False
39 SB04-08 -2.9262 -4.5166 -0.02 False
40 SB04-09 -5.5515 -6.8289 -0.0465 False
41 SB04-10 -7.2842 -6.028 -0.0273 False
42 SB04-11 -7.2133 -8.4357 -0.0202 False
43 SB05-01 -9.7824 -4.8719 -0.0126 False
44 SB05-02 -6.9766 -4.2931 -0.0343 False
45 SB05-03 -5.0138 -4.743 -0.0291 False
46 SB05-04 -5.5061 -2.9488 -0.0521 False
47 SB05-05 -4.1598 -0.5525 -0.0415 False
48 SB05-06 -5.7166 0.4612 -0.0461 False
49 SB05-07 -7.2256 -1.7873 -0.0608 False
50 SB05-08 -8.5636 -3.0339 -0.0322 False
51 SB05-09 -10.4593 -0.6615 -0.0224 False
52 SB05-10 -10.2289 -2.3989 0.0345 False
53 SB06-01 1.0818 -17.5465 -0.0288 False
54 SB06-02 -0.7916 -19.0618 -0.0031 False
55 SB06-03 3.4179 -17.7204 -0.0386 False
56 SB06-04 6.2533 -17.9834 -0.0287 False
57 SB06-05 6.8021 -16.3142 -0.0462 False
58 SB06-06 3.4318 -16.0116 -0.03 False
59 SB06-07 5.1033 -15.0313 -0.0373 False
60 SB06-08 5.0811 -12.1989 -0.0416 False
61 SB06-09 3.4718 -11.6076 -0.0506 False
62 SB06-10 3.5031 -14.1888 -0.0403 False
63 SB06-11 1.3865 -15.7987 -0.0397 False
64 SB07-01 0.5685 -9.5879 -0.057 False
65 SB07-02 1.7938 -10.8668 -0.0579 False
66 SB07-03 2.0922 -8.015 -0.05 False
67 SB07-04 4.3216 -9.5938 -0.0312 False
68 SB07-05 6.1522 -7.6477 -0.0219 False
69 SB07-06 3.8334 -6.5866 -0.0128 False
