idx name E N U flagged
0 sb01-9 11.272 11.648 0.0 False
1 sb01-10 9.331 14.887 0.0 False
2 sb02-1 4.314 18.095 0.0 False
3 sb02-2 2.11 19.131 0.0 False
4 sb02-3 3.355 16.553 0.0 False
5 sb02-4 0.302 17.44 0.0 False
6 sb02-5 -0.819 16.09 0.0 False
7 sb02-6 1.565 15.274 0.0 False
8 sb01-1 8.419 17.485 0.0 False
9 sb01-2 8.542 13.345 0.0 False
10 sb01-3 6.865 13.974 0.0 False
11 sb01-4 4.318 11.757 0.0 False
12 sb01-5 5.867 10.56 0.0 False
13 sb01-6 7.313 11.865 0.0 False
14 sb01-7 8.911 9.417 0.0 False
15 sb01-8 9.231 11.64 0.0 False
16 sb03-4 -4.511 14.799 0.0 False
17 sb03-5 -5.685 16.111 0.0 False
18 sb03-6 -6.939 12.349 0.0 False
19 sb03-7 -4.104 13.057 0.0 False
20 sb03-8 -7.384 10.444 0.0 False
21 sb03-9 -4.926 11.14 0.0 False
22 sb03-10 -2.465 12.11 0.0 False
23 sb03-11 -1.182 14.33 0.0 False
24 sb02-7 0.63 13.497 0.0 False
25 sb02-8 2.344 12.922 0.0 False
26 sb02-9 4.023 13.686 0.0 False
27 sb02-10 5.025 15.732 0.0 False
28 sb02-11 7.466 15.905 0.0 False
29 sb03-1 -1.992 17.854 0.0 False
30 sb03-2 -2.772 16.182 0.0 False
31 sb03-3 -5.962 17.928 0.0 False
32 sb04-9 1.836 8.562 0.0 False
33 sb04-10 3.697 8.646 0.0 False
34 sb04-11 2.58 10.754 0.0 False
35 sb05-1 6.489 8.763 0.0 False
36 sb05-2 4.215 6.943 0.0 False
37 sb05-3 2.329 6.476 0.0 False
38 sb05-4 3.542 5.111 0.0 False
39 sb05-5 3.465 2.363 0.0 False
40 sb04-1 0.694 10.535 0.0 False
41 sb04-2 -0.6 11.83 0.0 False
42 sb04-3 -3.225 10.314 0.0 False
43 sb04-4 -1.851 9.049 0.0 False
44 sb04-5 -2.112 7.239 0.0 False
45 sb04-6 -1.664 5.429 0.0 False
46 sb04-7 0.064 8.266 0.0 False
47 sb04-8 0.517 5.34 0.0 False
48 sb06-4 -13.752 13.093 0.0 False
49 sb06-5 -13.506 11.389 0.0 False
50 sb06-6 -10.369 12.607 0.0 False
51 sb06-7 -11.418 11.001 0.0 False
52 sb06-8 -10.116 8.484 0.0 False
53 sb06-9 -8.4 8.703 0.0 False
54 sb06-10 -9.585 10.953 0.0 False
55 sb06-11 -8.453 13.369 0.0 False
56 sb05-6 5.299 2.15 0.0 False
57 sb05-7 5.642 4.864 0.0 False
58 sb05-8 6.232 6.581 0.0 False
59 sb05-9 9.014 5.297 0.0 False
60 sb05-10 8.02 6.772 0.0 False
61 sb06-1 -8.965 15.085 0.0 False
62 sb06-2 -8.003 17.22 0.0 False
63 sb06-3 -11.107 14.181 0.0 False
64 sb07-9 -4.409 4.235 0.0 False
65 sb07-10 -2.464 3.88 0.0 False
66 sb07-11 -3.723 6.504 0.0 False
67 sb08-1 -12.157 7.62 0.0 False
68 sb08-2 -13.33 9.427 0.0 False
69 sb08-3 -15.058 9.149 0.0 False
70 sb08-4 -15.721 7.516 0.0 False
71 sb08-5 -17.288 6.375 0.0 False
72 sb07-1 -4.872 8.205 0.0 False
73 sb07-2 -6.545 8.799 0.0 False
74 sb07-3 -5.516 6.103 0.0 False
75 sb07-4 -8.213 6.515 0.0 False
76 sb07-5 -8.92 3.961 0.0 False
77 sb07-6 -6.43 4.054 0.0 False
78 sb07-7 -6.209 2.243 0.0 False
79 sb07-8 -3.04 1.53 0.0 False
80 sb09-4 -11.738 0.874 0.0 False
81 sb09-5 -8.575 -0.896 0.0 False
82 sb09-6 -10.535 -2.292 0.0 False
83 sb09-7 -9.325 -3.657 0.0 False
84 sb09-8 -7.878 -2.58 0.0 False
85 sb09-9 -6.34 -0.791 0.0 False
86 sb09-10 -3.578 -0.888 0.0 False
87 sb09-11 -4.791 0.966 0.0 False
88 sb08-6 -14.042 5.693 0.0 False
89 sb08-7 -12.79 4.407 0.0 False
90 sb08-8 -10.803 4.246 0.0 False
91 sb08-9 -11.623 5.853 0.0 False
92 sb08-10 -9.831 5.737 0.0 False
93 sb09-1 -7.463 0.646 0.0 False
94 sb09-2 -8.018 2.41 0.0 False
95 sb09-3 -9.828 2.322 0.0 False
96 sb10-9 -12.237 -1.684 0.0 False
97 sb10-10 -13.313 1.771 0.0 False
98 sb10-11 -11.808 2.674 0.0 False
99 sb11-1 -13.684 -3.665 0.0 False
100 sb11-2 -14.969 -2.388 0.0 False
101 sb11-3 -15.579 -5.094 0.0 False
102 sb11-4 -18.05 -4.528 0.0 False
103 sb11-5 -17.477 -6.273 0.0 False
104 sb10-1 -14.228 3.426 0.0 False
105 sb10-2 -15.632 4.829 0.0 False
106 sb10-3 -18.837 4.522 0.0 False
107 sb10-4 -16.884 2.725 0.0 False
108 sb10-5 -19.112 -0.09 0.0 False
109 sb10-6 -15.501 1.499 0.0 False
110 sb10-7 -17.075 -0.597 0.0 False
111 sb10-8 -14.686 -0.116 0.0 False
112 sb12-4 -10.829 -9.72 0.0 False
113 sb12-5 -13.802 -7.92 0.0 False
114 sb12-6 -13.869 -10.591 0.0 False
115 sb12-7 -12.623 -11.927 0.0 False
116 sb12-8 -15.262 -11.951 0.0 False
117 sb12-9 -11.663 -14.741 0.0 False
118 sb12-10 -10.851 -12.772 0.0 False
119 sb12-11 -6.792 -8.972 0.0 False
120 sb11-6 -15.555 -8.192 0.0 False
121 sb11-7 -15.801 -10.208 0.0 False
122 sb11-8 -13.744 -5.44 0.0 False
123 sb11-9 -11.65 -5.795 0.0 False
124 sb11-10 -11.166 -4.039 0.0 False
125 sb12-1 -8.45 -9.54 0.0 False
126 sb12-2 -10.265 -7.951 0.0 False
127 sb12-3 -12.076 -7.606 0.0 False
128 sb13-9 -3.556 -16.889 0.0 False
129 sb13-10 -3.519 -14.648 0.0 False
130 sb13-11 -2.448 -13.214 0.0 False
131 sb14-1 2.372 -13.419 0.0 False
132 sb14-2 1.46 -16.214 0.0 False
133 sb14-3 0.728 -12.788 0.0 False
134 sb14-4 -0.81 -13.936 0.0 False
135 sb14-5 -2.049 -15.799 0.0 False
136 sb13-1 -3.114 -11.598 0.0 False
137 sb13-2 -5.993 -12.421 0.0 False
138 sb13-3 -8.275 -12.212 0.0 False
139 sb13-4 -7.213 -13.654 0.0 False
140 sb13-5 -9.538 -13.99 0.0 False
141 sb13-6 -6.993 -15.815 0.0 False
142 sb13-7 -5.219 -15.477 0.0 False
143 sb13-8 -5.284 -18.757 0.0 False
144 sb15-3 -6.152 -3.072 0.0 False
145 sb15-4 -6.776 -4.981 0.0 False
146 sb15-5 -9.612 -5.501 0.0 False
147 sb15-6 -8.37 -7.246 0.0 False
148 sb15-7 -6.626 -10.757 0.0 False
149 sb15-8 -3.822 -9.85 0.0 False
150 sb15-9 -5.034 -8.576 0.0 False
151 sb15-10 -3.278 -5.08 0.0 False
152 sb14-6 -0.326 -15.915 0.0 False
153 sb14-7 -2.073 -17.925 0.0 False
154 sb14-8 1.509 -19.018 0.0 False
155 sb14-9 2.663 -17.644 0.0 False
156 sb14-10 4.47 -17.806 0.0 False
157 sb14-11 3.941 -15.931 0.0 False
158 sb15-1 -4.357 -3.259 0.0 False
159 sb15-2 -5.396 -6.076 0.0 False
160 sb16-9 3.001 -11.757 0.0 False
161 sb16-10 3.044 -9.108 0.0 False
162 sb16-11 4.258 -10.489 0.0 False
163 sb17-1 9.435 -12.411 0.0 False
164 sb17-2 6.975 -10.867 0.0 False
165 sb17-3 7.589 -12.567 0.0 False
166 sb17-4 5.163 -12.08 0.0 False
167 sb17-5 4.135 -14.165 0.0 False
168 sb16-1 1.214 -7.507 0.0 False
169 sb16-2 -0.048 -5.445 0.0 False
170 sb16-3 -1.406 -6.591 0.0 False
171 sb16-4 -0.09 -8.703 0.0 False
172 sb16-5 -3.645 -7.387 0.0 False
173 sb16-6 -2.246 -8.906 0.0 False
174 sb16-7 -0.975 -12.144 0.0 False
175 sb16-8 0.941 -10.197 0.0 False
176 sb18-4 -1.709 -0.283 0.0 False
177 sb18-5 -1.826 -2.527 0.0 False
178 sb18-6 -0.215 -1.499 0.0 False
179 sb18-7 -1.576 -4.581 0.0 False
180 sb18-8 0.778 -3.834 0.0 False
181 sb18-9 1.967 -1.064 0.0 False
182 sb18-10 3.604 0.546 0.0 False
183 sb18-11 1.815 2.942 0.0 False
184 sb17-6 5.96 -13.748 0.0 False
185 sb17-7 6.178 -16.062 0.0 False
186 sb17-8 7.965 -16.353 0.0 False
187 sb17-9 8.479 -14.587 0.0 False
188 sb17-10 11.751 -15.419 0.0 False
189 sb18-1 1.163 0.505 0.0 False
190 sb18-2 -0.765 3.235 0.0 False
191 sb18-3 -1.262 1.464 0.0 False
192 sb19-9 8.567 -8.258 0.0 False
193 sb19-10 9.032 -5.188 0.0 False
194 sb19-11 10.79 -4.882 0.0 False
195 sb20-1 13.342 -8.521 0.0 False
196 sb20-2 12.566 -6.951 0.0 False
197 sb20-3 9.985 -7.034 0.0 False
198 sb20-4 10.885 -8.942 0.0 False
199 sb20-5 9.186 -10.605 0.0 False
200 sb19-1 3.719 -1.497 0.0 False
201 sb19-2 5.354 -2.887 0.0 False
202 sb19-3 3.577 -4.735 0.0 False
203 sb19-4 1.959 -5.632 0.0 False
204 sb19-5 5.746 -5.499 0.0 False
205 sb19-6 4.911 -7.108 0.0 False
206 sb19-7 6.294 -8.238 0.0 False
207 sb19-8 7.516 -6.11 0.0 False
208 sb21-4 7.317 1.457 0.0 False
209 sb21-5 5.184 -0.498 0.0 False
210 sb21-6 6.628 -1.62 0.0 False
211 sb21-7 7.254 -3.358 0.0 False
212 sb21-8 8.182 -0.741 0.0 False
213 sb21-9 9.005 -2.668 0.0 False
214 sb21-10 10.805 0.38 0.0 False
215 sb21-11 10.626 2.235 0.0 False
216 sb20-6 11.51 -11.786 0.0 False
217 sb20-7 10.733 -13.692 0.0 False
218 sb20-8 13.191 -13.271 0.0 False
219 sb20-9 13.063 -10.527 0.0 False
220 sb20-10 16.42 -8.812 0.0 False
221 sb21-1 10.449 4.131 0.0 False
222 sb21-2 8.888 2.591 0.0 False
223 sb21-3 7.271 4.131 0.0 False
224 sb22-9 16.918 -4.926 0.0 False
225 sb22-10 18.034 -3.0 0.0 False
226 sb22-11 15.532 -3.743 0.0 False
227 sb23-1 16.682 4.837 0.0 False
228 sb23-2 15.003 5.518 0.0 False
229 sb23-3 12.291 3.618 0.0 False
230 sb23-4 14.798 2.82 0.0 False
231 sb23-5 13.926 0.698 0.0 False
232 sb22-1 16.913 -1.368 0.0 False
233 sb22-2 14.516 -2.035 0.0 False
234 sb22-3 12.596 -0.444 0.0 False
235 sb22-4 11.692 -2.071 0.0 False
236 sb22-5 12.588 -3.584 0.0 False
237 sb22-6 14.46 -5.159 0.0 False
238 sb22-7 14.834 -6.97 0.0 False
239 sb22-8 17.054 -7.16 0.0 False
240 sb24-4 10.994 7.714 0.0 False
241 sb24-5 10.719 5.934 0.0 False
242 sb24-6 12.945 5.26 0.0 False
243 sb24-7 13.357 7.687 0.0 False
244 sb24-8 15.126 7.378 0.0 False
245 sb24-9 16.913 7.062 0.0 False
246 sb24-10 16.628 9.223 0.0 False
247 sb24-11 14.614 10.096 0.0 False
248 sb23-6 16.177 1.61 0.0 False
249 sb23-7 15.407 -0.37 0.0 False
250 sb23-8 17.416 0.345 0.0 False
251 sb23-9 19.732 -1.076 0.0 False
252 sb23-10 19.012 3.051 0.0 False
253 sb24-1 13.044 12.151 0.0 False
254 sb24-2 12.819 10.071 0.0 False
255 sb24-3 10.835 9.587 0.0 False
