idx name E N U flagged rotation
0 sb01-9 13.431 9.074 0.0 False 56.1
1 sb01-10 12.2 12.643 0.0 False 56.1
2 sb02-1 7.952 16.817 0.0 False 56.1
3 sb02-2 6.009 18.285 0.0 False 56.1
4 sb02-3 6.696 15.505 0.0 False 56.1
5 sb02-4 3.891 17.003 0.0 False 56.1
6 sb02-5 2.517 15.913 0.0 False 56.1
7 sb02-6 4.681 14.623 0.0 False 56.1
8 sb01-1 11.844 15.373 0.0 False 56.1
9 sb01-2 11.11 11.297 0.0 False 56.1
10 sb01-3 9.599 12.258 0.0 False 56.1
11 sb01-4 6.649 10.614 0.0 False 56.1
12 sb01-5 7.919 9.123 0.0 False 56.1
13 sb01-6 9.602 10.102 0.0 False 56.1
14 sb01-7 10.662 7.378 0.0 False 56.1
15 sb01-8 11.433 9.486 0.0 False 56.1
16 sb03-4 -1.362 15.411 0.0 False 56.1
17 sb03-5 -2.241 16.937 0.0 False 56.1
18 sb03-6 -4.244 13.514 0.0 False 56.1
19 sb03-7 -1.323 13.623 0.0 False 56.1
20 sb03-8 -5.071 11.743 0.0 False 56.1
21 sb03-9 -2.523 11.916 0.0 False 56.1
22 sb03-10 0.085 12.358 0.0 False 56.1
23 sb03-11 1.798 14.266 0.0 False 56.1
24 sb02-7 3.399 13.077 0.0 False 56.1
25 sb02-8 4.958 12.161 0.0 False 56.1
26 sb02-9 6.759 12.562 0.0 False 56.1
27 sb02-10 8.161 14.358 0.0 False 56.1
28 sb02-11 10.585 14.023 0.0 False 56.1
29 sb03-1 1.733 17.881 0.0 False 56.1
30 sb03-2 0.625 16.406 0.0 False 56.1
31 sb03-3 -2.137 18.772 0.0 False 56.1
32 sb04-9 3.562 7.999 0.0 False 56.1
33 sb04-10 5.401 7.698 0.0 False 56.1
34 sb04-11 4.742 9.991 0.0 False 56.1
35 sb05-1 8.156 7.236 0.0 False 56.1
36 sb05-2 5.556 5.925 0.0 False 56.1
37 sb05-3 3.614 5.856 0.0 False 56.1
38 sb05-4 4.52 4.271 0.0 False 56.1
39 sb05-5 3.878 1.598 0.0 False 56.1
40 sb04-1 2.851 10.165 0.0 False 56.1
41 sb04-2 1.852 11.7 0.0 False 56.1
42 sb04-3 -1.029 10.758 0.0 False 56.1
43 sb04-4 0.055 9.237 0.0 False 56.1
44 sb04-5 -0.574 7.519 0.0 False 56.1
45 sb04-6 -0.509 5.656 0.0 False 56.1
46 sb04-7 1.767 8.075 0.0 False 56.1
47 sb04-8 1.607 5.119 0.0 False 56.1
48 sb06-4 -10.757 15.647 0.0 False 56.1
49 sb06-5 -10.867 13.93 0.0 False 56.1
50 sb06-6 -7.547 14.474 0.0 False 56.1
51 sb06-7 -8.904 13.119 0.0 False 56.1
52 sb06-8 -8.149 10.388 0.0 False 56.1
53 sb06-9 -6.425 10.248 0.0 False 56.1
54 sb06-10 -7.121 12.694 0.0 False 56.1
55 sb06-11 -5.515 14.824 0.0 False 56.1
56 sb05-6 5.628 1.011 0.0 False 56.1
57 sb05-7 6.523 3.596 0.0 False 56.1
58 sb05-8 7.455 5.154 0.0 False 56.1
59 sb05-9 9.913 3.325 0.0 False 56.1
60 sb05-10 9.244 4.973 0.0 False 56.1
61 sb06-1 -5.662 16.609 0.0 False 56.1
62 sb06-2 -4.28 18.501 0.0 False 56.1
63 sb06-3 -7.944 16.166 0.0 False 56.1
64 sb07-9 -3.441 5.053 0.0 False 56.1
65 sb07-10 -1.611 4.304 0.0 False 56.1
66 sb07-11 -2.302 7.131 0.0 False 56.1
67 sb08-1 -10.325 9.963 0.0 False 56.1
68 sb08-2 -11.1 11.973 0.0 False 56.1
69 sb08-3 -12.848 12.058 0.0 False 56.1
70 sb08-4 -13.833 10.596 0.0 False 56.1
71 sb08-5 -15.601 9.803 0.0 False 56.1
72 sb07-1 -3.075 9.033 0.0 False 56.1
73 sb07-2 -4.59 9.959 0.0 False 56.1
74 sb07-3 -4.139 7.109 0.0 False 56.1
75 sb07-4 -6.693 8.069 0.0 False 56.1
76 sb07-5 -7.911 5.715 0.0 False 56.1
77 sb07-6 -5.455 5.293 0.0 False 56.1
78 sb07-7 -5.613 3.475 0.0 False 56.1
79 sb07-8 -2.66 2.124 0.0 False 56.1
80 sb09-4 -11.305 3.275 0.0 False 56.1
81 sb09-5 -8.576 0.891 0.0 False 56.1
82 sb09-6 -10.782 -0.07 0.0 False 56.1
83 sb09-7 -9.879 -1.655 0.0 False 56.1
84 sb09-8 -8.241 -0.9 0.0 False 56.1
85 sb09-9 -6.367 0.534 0.0 False 56.1
86 sb09-10 -3.684 -0.131 0.0 False 56.1
87 sb09-11 -4.489 1.933 0.0 False 56.1
88 sb08-6 -12.566 8.466 0.0 False 56.1
89 sb08-7 -11.606 6.95 0.0 False 56.1
90 sb08-8 -9.696 6.382 0.0 False 56.1
91 sb08-9 -10.166 8.124 0.0 False 56.1
92 sb08-10 -8.436 7.64 0.0 False 56.1
93 sb09-1 -7.17 2.171 0.0 False 56.1
94 sb09-2 -7.348 4.011 0.0 False 56.1
95 sb09-3 -9.138 4.298 0.0 False 56.1
96 sb10-9 -12.321 0.876 0.0 False 56.1
97 sb10-10 -12.662 4.478 0.0 False 56.1
98 sb10-11 -11.003 5.052 0.0 False 56.1
