idx name E N U flagged
0 SB01-01 -6.7855 -18.2644 0.0254 False
1 SB01-02 -7.2785 -14.0776 0.0495 False
2 SB01-03 -5.5508 -14.5708 0.0573 False
3 SB01-04 -3.2379 -12.1208 0.0593 False
4 SB01-05 -4.8816 -11.1204 0.0415 False
5 SB01-06 -6.1956 -12.5103 0.0582 False
6 SB01-07 -8.0357 -10.2443 0.0235 False
7 SB01-08 -8.128 -12.4936 0.0414 False
8 SB01-09 -10.1311 -12.6733 -0.0048 False
9 SB01-10 -7.9414 -15.7175 0.033 False
10 SB02-01 -2.6364 -18.4573 0.0656 False
11 SB02-02 -0.3484 -19.2902 0.0802 False
12 SB02-03 -1.8261 -16.8067 0.077 False
13 SB02-04 1.273 -17.4446 0.0951 False
14 SB02-05 2.3257 -15.9824 0.0619 False
15 SB02-06 -0.1586 -15.396 0.093 False
16 SB02-07 0.5684 -13.5367 0.097 False
17 SB02-08 -1.1418 -13.0987 0.0839 False
18 SB02-09 -2.7452 -14.055 0.0714 False
19 SB02-10 -3.5604 -16.1715 0.0572 False
20 SB02-11 -5.9709 -16.5481 0.0438 False
21 SB03-01 3.6065 -17.6622 0.0891 False
22 SB03-02 4.2445 -15.9257 0.0812 False
23 SB03-03 7.5957 -17.3521 0.0834 False
24 SB03-04 5.8468 -14.4055 0.0778 False
25 SB03-05 7.1517 -15.581 0.0931 False
26 SB03-06 8.0251 -11.7045 0.0927 False
27 SB03-07 5.3084 -12.6703 0.0744 False
28 SB03-08 8.2694 -9.7233 0.0633 False
29 SB03-09 5.9486 -10.6853 0.06 False
30 SB03-10 3.5634 -11.8994 0.0689 False
31 SB03-11 2.4958 -14.193 0.0819 False
32 SB04-01 0.2589 -10.5629 0.0922 False
33 SB04-02 1.6925 -11.7458 0.0733 False
34 SB04-03 4.1731 -10.0128 0.0554 False
35 SB04-04 2.7024 -8.8834 0.0472 False
36 SB04-05 2.7576 -7.0603 0.0231 False
37 SB04-06 2.1892 -5.2893 0.0591 False
38 SB04-07 0.6868 -8.2717 0.0798 False
39 SB04-08 -0.0173 -5.3931 0.0381 False
40 SB04-09 -1.0498 -8.7489 0.0653 False
41 SB04-10 -2.8312 -8.9825 0.0163 False
42 SB04-11 -1.6247 -10.9799 0.0581 False
43 SB05-01 -5.6412 -9.348 0.0192 False
44 SB05-02 -3.5757 -7.3525 0.022 False
45 SB05-03 -1.732 -6.7175 0.0346 False
46 SB05-04 -3.0772 -5.4323 0.027 False
47 SB05-05 -3.2624 -2.7204 0.0149 False
48 SB05-06 -5.0879 -2.6727 -0.0087 False
49 SB05-07 -5.1425 -5.3805 0.0048 False
50 SB05-08 -5.6049 -7.1392 0.0147 False
51 SB05-09 -8.4804 -6.1609 -0.0078 False
52 SB05-10 -7.3663 -7.4969 0.0096 False
53 SB06-01 10.2788 -14.2508 0.1536 False
54 SB06-02 9.5622 -16.5046 0.143 False
55 SB06-03 12.3725 -13.1784 0.1376 False
56 SB06-04 14.882 -11.853 0.1012 False
57 SB06-05 14.499 -10.193 0.1159 False
58 SB06-06 11.4723 -11.6729 0.1416 False
59 SB06-07 12.3708 -9.9443 0.1534 False
60 SB06-08 10.8455 -7.5597 0.097 False
61 SB06-09 9.1727 -7.9195 0.1213 False
62 SB06-10 10.552 -10.0884 0.1203 False
63 SB06-11 9.6014 -12.5353 0.0812 False
64 SB07-01 5.5984 -7.7552 0.0527 False
65 SB07-02 7.3282 -8.1837 0.0823 False
66 SB07-03 6.0555 -5.6122 0.0522 False
67 SB07-04 8.7987 -5.769 0.0872 False
68 SB07-05 9.2801 -3.1943 0.0755 False
69 SB07-06 6.7863 -3.493 0.0394 False
70 SB07-07 6.3769 -1.6862 0.0388 False
71 SB07-08 3.1612 -1.2716 0.0121 False
72 SB07-09 4.8286 -3.8364 -0.0098 False
73 SB07-10 2.8359 -3.7144 0.0168 False
74 SB07-11 4.3091 -6.1874 0.0294 False
75 SB08-01 12.8347 -6.5253 0.102 False
76 SB08-02 14.1555 -8.231 0.0828 False
77 SB08-03 15.879 -7.7849 0.0684 False
78 SB08-04 16.378 -6.1109 0.0441 False
79 SB08-05 17.807 -4.8288 0.0022 False
80 SB08-06 14.5265 -4.4279 0.0624 False
81 SB08-07 13.1567 -3.2514 0.1009 False
82 SB08-08 11.1684 -3.3101 0.0602 False
83 SB08-09 12.1109 -4.7901 0.0912 False
84 SB08-10 10.3083 -4.8669 0.0651 False
85 SB09-01 7.4712 0.0067 0.0596 False
86 SB09-02 8.2315 -1.7132 0.0495 False
87 SB09-03 10.0453 -1.4421 0.0656 False
88 SB09-04 11.7974 0.1751 0.0281 False
89 SB09-05 8.5141 1.6702 -0.0041 False
90 SB09-06 10.3171 3.1784 0.0259 False
91 SB09-07 8.9301 4.494 -0.0316 False
92 SB09-08 7.6655 3.2679 0.0272 False
93 SB09-09 6.2251 1.3269 0.0264 False
94 SB09-10 3.5227 1.1301 0.0058 False
95 SB09-11 4.8438 -0.5669 -0.022 False
96 SB10-01 14.5362 -2.1563 0.0296 False
97 SB10-02 16.02 -3.4424 0.0331 False
98 SB10-03 19.1905 -2.803 -0.016 False
99 SB10-04 17.0768 -1.2062 0.0022 False
100 SB10-05 19.0899 1.7945 -0.0599 False
101 SB10-06 15.612 -0.1431 0.0165 False
102 SB10-07 16.9664 2.102 -0.0226 False
103 SB10-08 14.6291 1.4156 0.0304 False
104 SB10-09 12.0648 2.7206 0.0302 False
105 SB10-10 13.4465 -0.5896 0.0354 False
106 SB10-11 12.018 -1.6322 0.0665 False
107 SB11-01 13.3268 4.845 0.002 False
108 SB11-02 14.7321 3.7137 -0.0034 False
109 SB11-03 15.0777 6.4564 -0.0866 False
110 SB11-04 17.6033 6.0847 -0.1232 False
111 SB11-05 16.8568 7.788 -0.107 False
112 SB11-06 14.7519 9.5638 -0.0983 False
113 SB11-07 14.8121 11.5507 -0.1101 False
114 SB11-08 13.2121 6.6232 -0.0295 False
115 SB11-09 11.0981 6.7754 -0.0132 False
116 SB11-10 10.7566 4.9972 0.0082 False
117 SB12-01 7.5636 10.2206 -0.057 False
118 SB12-02 9.5217 8.821 -0.0274 False
119 SB12-03 11.3294 8.663 -0.0242 False
120 SB12-04 9.943 10.6124 -0.0355 False
121 SB12-05 13.0504 9.1178 -0.0399 False
122 SB12-06 12.8709 11.771 -0.0856 False
123 SB12-07 11.5413 12.9944 -0.0884 False
124 SB12-08 14.1461 13.264 -0.1256 False
125 SB12-09 10.2862 15.6809 -0.113 False
126 SB12-10 9.6805 13.6429 -0.0623 False
127 SB12-11 5.9775 9.5059 -0.0368 False
128 SB13-01 2.0853 11.8078 -0.0115 False
129 SB13-02 4.8449 12.9169 -0.0486 False
130 SB13-03 7.1411 12.8797 -0.0713 False
131 SB13-04 5.9558 14.2062 -0.0291 False
132 SB13-05 8.2187 14.7809 -0.0516 False
133 SB13-06 5.5583 16.3378 -0.0444 False
134 SB13-07 3.861 15.8259 -0.0698 False
135 SB13-08 3.5475 19.1067 -0.0975 False
136 SB13-09 2.0573 17.107 -0.0422 False
137 SB13-10 2.1779 14.8819 -0.0232 False
138 SB13-11 1.2769 13.3615 -0.0132 False
139 SB14-01 -3.551 13.1345 -0.0106 False
140 SB14-02 -2.9149 15.9678 -0.0184 False
141 SB14-03 -1.8476 12.6623 -0.0112 False
142 SB14-04 -0.4558 13.9139 -0.0095 False
143 SB14-05 0.6261 15.8805 -0.0175 False
144 SB14-06 -1.1 15.8522 -0.0226 False
145 SB14-07 0.4553 18.0078 -0.0532 False
146 SB14-08 -3.2242 18.7793 -0.0788 False
147 SB14-09 -4.2113 17.321 -0.0529 False
148 SB14-10 -6.0429 17.274 -0.0211 False
149 SB14-11 -5.3645 15.4939 -0.0464 False
150 SB15-01 4.0666 3.5924 0.0066 False
151 SB15-02 4.8248 6.5012 -0.0241 False
152 SB15-03 5.8887 3.5876 0.0025 False
153 SB15-04 6.3509 5.4546 -0.01 False
154 SB15-05 9.0543 6.3157 -0.0059 False
155 SB15-06 7.7464 7.9509 -0.0734 False
156 SB15-07 5.6308 11.2611 -0.0552 False
157 SB15-08 2.9183 10.1182 -0.0125 False
158 SB15-09 4.2909 8.9431 -0.0027 False
159 SB15-10 2.8162 5.2958 -0.0089 False
160 SB16-01 -1.8438 7.3277 -0.0065 False
161 SB16-02 -0.4587 5.3819 -0.0321 False
162 SB16-03 0.8323 6.6552 -0.0267 False
163 SB16-04 -0.678 8.634 -0.0193 False
164 SB16-05 2.9657 7.629 -0.0279 False
165 SB16-06 1.4596 9.0277 -0.0536 False
166 SB16-07 -0.1258 12.1776 -0.0402 False
167 SB16-08 -1.8531 10.0329 -0.0216 False
168 SB16-09 -4.0242 11.4041 -0.0021 False
169 SB16-10 -3.8234 8.7953 -0.0667 False
170 SB16-11 -5.1551 10.0049 -0.0272 False
171 SB17-01 -10.4853 11.4695 -0.0727 False
172 SB17-02 -7.8832 10.1501 -0.0567 False
173 SB17-03 -8.6775 11.798 -0.0488 False
174 SB17-04 -6.2394 11.5268 -0.0112 False
175 SB17-05 -5.387 13.7155 -0.017 False
176 SB17-06 -7.17 13.0983 -0.021 False
177 SB17-07 -7.5951 15.4417 -0.0457 False
178 SB17-08 -9.3983 15.5368 -0.0168 False
179 SB17-09 -9.7601 13.7142 -0.052 False
180 SB17-10 -13.0664 14.2566 -0.1034 False
181 SB18-01 -1.0971 -0.6626 -0.0089 False
182 SB18-02 1.069 -3.1815 0.0219 False
183 SB18-03 1.4318 -1.3605 0.0237 False
184 SB18-04 1.6968 0.4239 0.0299 False
185 SB18-05 1.5982 2.6857 0.0009 False
186 SB18-06 0.0973 1.456 -0.0515 False
187 SB18-07 1.1116 4.6114 -0.0484 False
188 SB18-08 -1.0685 3.7554 -0.065 False
189 SB18-09 -2.0466 0.8618 -0.0117 False
190 SB18-10 -3.542 -0.8995 0.0044 False
191 SB18-11 -1.5467 -3.1337 0.0232 False
192 SB19-01 -3.85 1.0981 -0.0151 False
193 SB19-02 -5.5982 2.3801 -0.0294 False
194 SB19-03 -3.9827 4.3561 -0.0368 False
195 SB19-04 -2.4611 5.3684 -0.0235 False
196 SB19-05 -6.2228 4.8684 -0.0624 False
197 SB19-06 -5.5196 6.6172 -0.043 False
198 SB19-07 -6.9672 7.6039 -0.0432 False
199 SB19-08 -8.0154 5.3547 -0.0285 False
200 SB19-09 -9.3016 7.3515 -0.069 False
201 SB19-10 -9.4362 4.3211 -0.0189 False
202 SB19-11 -11.1575 3.8446 -0.0124 False
203 SB20-01 -14.0892 7.2344 -0.0668 False
204 SB20-02 -13.1189 5.7356 -0.0147 False
205 SB20-03 -10.5834 6.0835 -0.0186 False
206 SB20-04 -11.6338 7.8918 -0.0013 False
207 SB20-05 -10.1228 9.6808 -0.0612 False
208 SB20-06 -12.4929 10.6474 -0.0548 False
209 SB20-07 -11.9287 12.6333 -0.0805 False
210 SB20-08 -14.3218 11.992 -0.1145 False
211 SB20-09 -13.96 9.2573 -0.0385 False
212 SB20-10 -17.1145 7.2423 -0.037 False
213 SB21-01 -10.0097 -5.1235 -0.0244 False
214 SB21-02 -8.6266 -3.4029 0.0148 False
215 SB21-03 -6.8872 -4.8136 -0.0166 False
216 SB21-04 -7.084 -2.2054 -0.0597 False
217 SB21-05 -5.19 0.0016 -0.0336 False
218 SB21-06 -6.7618 1.0025 -0.0257 False
219 SB21-07 -7.5093 2.6282 -0.0457 False
220 SB21-08 -8.2105 -0.0011 -0.0421 False
221 SB21-09 -9.202 1.8047 -0.0341 False
222 SB21-10 -10.7456 -1.3775 -0.0274 False
223 SB21-11 -10.3511 -3.232 -0.0363 False
