idx name E N U flagged
0 Ant061 6.95 5.356 0.0 False
1 Ant063 7.553 3.249 0.0 False
2 Ant064 7.34 1.361 0.0 False
3 Ant083 5.749 1.142 0.0 False
4 Ant136 -0.399 3.494 0.0 False
5 Ant124 1.531 9.002 0.0 False
6 Ant123 0.993 6.542 0.0 False
7 Ant122 1.843 4.59 0.0 False
8 Ant084 4.7 3.58 0.0 False
9 Ant085 4.542 6.439 0.0 False
10 Ant086 5.882 7.304 0.0 False
11 Ant097 3.046 6.906 0.0 False
12 Ant121 1.15 3.196 0.0 False
13 Ant120 0.492 1.842 0.0 False
14 Ant099 2.738 1.79 0.0 False
15 Ant098 3.952 5.044 0.0 False
16 Ant134 -0.569 8.855 0.0 False
17 Ant135 -1.178 6.987 0.0 False
18 Ant152 -3.007 1.079 0.0 False
19 Ant153 -3.058 3.937 0.0 False
20 Ant201 -9.265 3.239 0.0 False
21 Ant200 -9.968 4.8 0.0 False
22 Ant199 -8.973 6.797 0.0 False
23 Ant188 -7.233 7.157 0.0 False
24 Ant154 -4.307 5.943 0.0 False
25 Ant155 -2.299 5.946 0.0 False
26 Ant156 -2.87 8.949 0.0 False
27 Ant167 -5.721 8.736 0.0 False
28 Ant187 -7.599 5.831 0.0 False
29 Ant186 -7.221 2.732 0.0 False
30 Ant169 -6.306 0.334 0.0 False
31 Ant168 -4.713 2.849 0.0 False
32 Ant118 0.093 -4.617 0.0 False
33 Ant137 -1.113 -1.617 0.0 False
34 Ant138 -1.658 -5.178 0.0 False
35 Ant147 -2.31 -8.337 0.0 True
36 Ant204 -8.86 -4.424 0.0 True
37 Ant203 -9.867 -1.967 0.0 True
38 Ant185 -8.016 -0.866 0.0 True
39 Ant184 -6.908 -2.022 0.0 False
40 Ant148 -4.26 -8.279 0.0 False
41 Ant149 -3.117 -6.226 0.0 False
42 Ant150 -2.612 -3.42 0.0 True
43 Ant151 -3.464 -1.473 0.0 False
44 Ant183 -7.418 -5.583 0.0 False
45 Ant172 -5.109 -5.171 0.0 False
46 Ant171 -6.225 -3.577 0.0 False
47 Ant170 -5.154 -0.862 0.0 False
48 Ant065 7.457 -1.111 0.0 True
49 Ant066 7.154 -2.919 0.0 True
50 Ant079 5.295 -7.323 0.0 False
51 Ant080 5.706 -5.776 0.0 False
52 Ant139 -1.052 -7.029 0.0 False
53 Ant119 0.952 -2.773 0.0 False
54 Ant117 1.045 -5.923 0.0 False
55 Ant116 0.143 -8.374 0.0 False
56 Ant081 5.357 -1.96 0.0 False
57 Ant082 4.746 -0.16 0.0 False
58 Ant100 2.354 -0.716 0.0 False
59 Ant101 2.603 -2.623 0.0 False
60 Ant105 2.958 -9.531 0.0 False
61 Ant104 2.795 -7.975 0.0 False
62 Ant103 2.597 -6.317 0.0 False
63 Ant102 3.197 -4.46 0.0 False
64 Ant006 15.761 8.864 0.0 False
65 Ant007 15.859 6.663 0.0 False
66 Ant008 16.924 5.158 0.0 False
67 Ant021 13.109 2.436 0.0 False
68 Ant062 8.649 5.151 0.0 False
69 Ant053 10.696 7.708 0.0 False
70 Ant052 8.922 7.096 0.0 True
71 Ant051 9.798 5.758 0.0 True
72 Ant023 14.809 5.214 0.0 False
73 Ant024 13.8 8.91 0.0 False
74 Ant025 14.895 11.712 0.0 False
75 Ant026 13.012 12.868 0.0 False
76 Ant032 11.058 3.801 0.0 False
77 Ant031 12.163 4.94 0.0 False
78 Ant030 12.104 7.207 0.0 True
79 Ant029 12.241 9.663 0.0 False
80 Ant027 12.41 14.216 0.0 False
81 Ant028 11.259 13.159 0.0 False
82 Ant054 9.492 10.004 0.0 False
83 Ant055 10.783 11.505 0.0 False
84 Ant096 3.576 9.257 0.0 False
85 Ant095 3.336 10.964 0.0 False
86 Ant091 6.189 15.816 0.0 False
87 Ant090 4.436 15.42 0.0 False
88 Ant056 9.344 13.215 0.0 False
89 Ant057 9.251 14.919 0.0 False
90 Ant058 7.493 17.314 0.0 False
91 Ant059 6.657 10.751 0.0 False
92 Ant089 6.441 13.115 0.0 False
93 Ant088 5.137 11.817 0.0 False
94 Ant087 5.485 8.949 0.0 False
95 Ant060 7.292 7.996 0.0 False
96 Ant092 4.683 18.392 -0.207 False
97 Ant093 2.632 16.58 -0.207 False
98 Ant094 3.099 13.975 -0.203 False
99 Ant125 0.595 10.263 -0.204 False
100 Ant162 -3.14 18.708 -0.191 False
101 Ant161 -2.364 16.512 -0.167 False
102 Ant160 -3.977 15.349 -0.2 False
103 Ant159 -2.31 14.205 -0.203 False
104 Ant126 1.541 12.773 -0.198 False
105 Ant127 -0.466 13.571 -0.21 False
106 Ant128 1.384 14.677 -0.209 False
107 Ant129 1.781 18.278 -0.205 False
108 Ant133 -1.051 10.346 -0.208 False
109 Ant132 -0.269 11.661 -0.204 False
110 Ant131 -0.866 14.768 -0.202 False
111 Ant130 -0.32 17.326 -0.176 False
112 Ant157 -2.221 11.513 0.0 False
113 Ant158 -3.473 13.053 0.0 False
114 Ant163 -5.117 17.265 0.0 False
115 Ant164 -5.921 13.399 0.0 False
116 Ant223 -12.099 12.204 0.0 False
117 Ant197 -8.824 8.747 0.0 False
118 Ant196 -10.674 9.589 0.0 False
119 Ant195 -9.943 11.101 0.0 False
120 Ant165 -5.826 11.552 0.0 True
121 Ant166 -4.839 10.112 0.0 False
122 Ant189 -7.08 10.064 0.0 False
123 Ant190 -8.127 11.197 0.0 False
124 Ant194 -8.983 12.61 0.0 False
125 Ant193 -10.527 13.959 0.0 False
126 Ant192 -8.48 16.21 0.0 False
127 Ant191 -7.331 14.912 0.0 False
128 Ant198 -10.128 7.888 0.0 False
129 Ant220 -12.863 4.137 0.0 True
130 Ant221 -11.684 6.489 0.0 False
131 Ant222 -11.682 10.745 0.0 False
132 Ant252 -18.671 3.381 0.0 False
133 Ant251 -17.322 7.54 0.0 False
134 Ant250 -16.037 10.162 0.0 False
135 Ant249 -15.385 6.947 0.0 False
