idx name E N U flagged
0 SB22-11 13.547 8.285 0.061 False
1 SB22-3 9.443 8.167 0.041 False
2 SB22-1 13.039 10.568 0.062 False
3 SB22-4 9.378 6.162 0.041 False
4 SB22-5 11.593 6.308 0.035 False
5 SB22-7 15.554 5.342 0.065 False
6 SB22-2 11.543 8.456 0.039 False
7 SB22-10 14.996 10.254 0.062 False
8 SB21-9 8.834 4.257 0.049 False
9 SB21-4 4.917 5.955 0.036 False
10 SB21-10 7.269 7.443 0.038 False
11 SB21-8 6.968 5.447 0.041 False
12 SB21-6 5.98 3.532 0.03 False
13 SB21-11 7.024 9.41 0.049 False
14 SB21-3 2.821 7.94 0.022 False
15 SB21-1 4.51 9.95 0.043 False
16 SB22-9 15.489 7.787 0.064 False
17 SB22-8 17.308 6.973 0.086 False
18 SB22-6 13.66 6.023 0.051 False
19 SB24-7 3.613 14.662 0.026 False
20 SB24-9 7.101 16.567 0.069 False
21 SB24-2 1.703 15.94 0.045 False
22 SB24-10 5.058 18.115 0.054 False
23 SB24-6 5.14 13.075 0.043 False
24 SB10-11 -10.55 -6.231 -0.048 False
25 SB10-1 -12.605 -8.344 -0.059 False
26 SB10-2 -14.545 -7.988 -0.069 False
27 SB10-7 -11.16 -12.746 -0.065 False
28 SB10-4 -14.059 -10.384 -0.069 False
29 SB21-7 7.776 2.527 0.039 False
30 SB21-5 4.022 3.742 0.021 False
31 SB21-2 5.013 8.043 0.03 False
32 SB24-1 1.002 18.285 0.045 False
33 SB24-8 5.262 15.765 0.055 False
34 SB24-11 3.311 17.171 0.052 False
35 SB24-5 3.522 11.706 0.038 False
36 SB24-3 0.355 14.462 0.029 False
37 SB24-4 2.1 13.245 0.03 False
38 SB23-4 8.178 12.206 0.047 False
39 SB23-3 6.301 11.333 0.046 False
40 SB11-10 -5.437 -10.638 -0.034 False
41 SB11-9 -4.348 -12.36 -0.042 False
42 SB10-6 -12.101 -10.581 -0.087 False
43 SB10-9 -8.043 -9.832 -0.076 False
44 SB10-10 -10.544 -8.297 -0.068 False
45 SB10-5 -13.159 -12.741 -0.084 False
46 SB10-3 -16.013 -9.88 -0.075 False
47 SB10-8 -10.052 -10.403 -0.03 False
48 SB23-10 10.768 15.031 0.061 False
49 SB23-8 12.108 12.874 0.066 False
50 SB23-7 11.037 10.609 0.052 False
51 SB23-9 14.096 12.694 0.066 False
52 SB23-6 10.121 12.717 0.06 False
53 SB23-5 9.038 10.211 0.04 False
54 SB23-2 6.91 14.097 0.063 False
55 SB23-1 8.784 14.716 0.07 False
56 SB11-3 -7.892 -14.344 -0.047 False
57 SB11-7 -4.193 -17.611 -0.054 False
58 SB11-8 -6.057 -13.555 -0.064 False
59 SB11-5 -8.097 -16.749 -0.086 False
60 SB11-2 -9.197 -12.447 -0.022 False
